"","title","author","subject","abstract","date"
"11","a regularization-based transfer learning method for information extraction via instructed graph decoder","kedi chen, jie zhou, qin chen, shunyu liu, liang he","machine learning","information extraction (ie) aims to extract complex structured information from the text. numerous datasets have been constructed for various ie tasks, leading to time-consuming and labor-intensive data annotations. nevertheless, most prevailing methods focus on training task-specific models, while the common knowledge among different ie tasks is not explicitly modeled. moreover, the same phrase may have inconsistent labels in different tasks, which poses a big challenge for knowledge transfer using a unified model. in this study, we propose a regularization-based transfer learning method for ie (tie) via an instructed graph decoder. specifically, we first construct an instruction pool for datasets from all well-known ie tasks, and then present an instructed graph decoder, which decodes various complex structures into a graph uniformly based on corresponding instructions. in this way, the common knowledge shared with existing datasets can be learned and transferred to a new dataset with new labels. furthermore, to alleviate the label inconsistency problem among various ie tasks, we introduce a task-specific regularization strategy, which does not update the gradients of two tasks with 'opposite direction'. we conduct extensive experiments on 12 datasets spanning four ie tasks, and the results demonstrate the great advantages of our proposed method",2024-03-01
"12","softtiger: a clinical foundation model for healthcare workflows","ye chen, igor couto, wei cai, cong fu, bruno dorneles","computation and language","we release and introduce softtiger, a clinical large language model (clam) designed as a foundation model for healthcare workflows. the narrative and unstructured nature of clinical notes is a major obstacle for healthcare intelligentization. we address a critical problem of structuring clinical notes into clinical data, according to international interoperability standards. we collect and annotate data for three critical subtasks, namely, international patient summary, clinical impression and medical encounter. we then supervised fine-tuned a state-of-the-art llm using public and credentialed clinical data. the training is orchestrated in a way that the target model can first support basic clinical tasks such as abbreviation expansion and temporal information extraction, and then learn to perform more complex downstream clinical tasks such as impression and encounter summary. moreover, we address, several modeling challenges in the healthcare context, e.g., extra long context window. our blind pairwise evaluation shows that softtiger outperforms other popular open-source models and gpt-3.5, comparable to gemini-pro, and only has a mild gap from gpt-4. we believe that llms may become a step-stone towards healthcare digitalization and democratization. therefore, we publicly release softtiger models at scales of 13 billion and 70 billion parameters, as well as datasets and code for our innovative scalable evaluation, hopefully, making a significant contribution to the healthcare industry.",2024-03-01
"13","iped: an implicit perspective for relational triple extraction based on diffusion model","jianli zhao, changhao xu, bin jiang","computation and language","relational triple extraction is a fundamental task in the field of information extraction, and a promising framework based on table filling has recently gained attention as a potential baseline for entity relation extraction. however, inherent shortcomings such as redundant information and incomplete triple recognition remain problematic. to address these challenges, we propose an implicit perspective for relational triple extraction based on diffusion model (iped), an innovative approach for extracting relational triples. our classifier-free solution adopts an implicit strategy using block coverage to complete the tables, avoiding the limitations of explicit tagging methods. additionally, we introduce a generative model structure, the block-denoising diffusion model, to collaborate with our implicit perspective and effectively circumvent redundant information disruptions. experimental results on two popular datasets demonstrate that iped achieves state-of-the-art performance while gaining superior inference speed and low computational complexity. to support future research, we have made our source code publicly available online.",2024-02-24
"14","enhancing steganographic text extraction: evaluating the impact of nlp models on accuracy and semantic coherence","mingyang li, maoqin yuan, luyao li, han pengsihua","computer vision and pattern recognition","this study discusses a new method combining image steganography technology with natural language processing (nlp) large models, aimed at improving the accuracy and robustness of extracting steganographic text. traditional least significant bit (lsb) steganography techniques face challenges in accuracy and robustness of information extraction when dealing with complex character encoding, such as chinese characters. to address this issue, this study proposes an innovative lsb-nlp hybrid framework. this framework integrates the advanced capabilities of nlp large models, such as error detection, correction, and semantic consistency analysis, as well as information reconstruction techniques, thereby significantly enhancing the robustness of steganographic text extraction. experimental results show that the lsb-nlp hybrid framework excels in improving the extraction accuracy of steganographic text, especially in handling chinese characters. the findings of this study not only confirm the effectiveness of combining image steganography technology and nlp large models but also propose new ideas for research and application in the field of information hiding. the successful implementation of this interdisciplinary approach demonstrates the great potential of integrating image steganography technology with natural language processing technology in solving complex information processing problems.",2024-02-29
"15","hierarchical multimodal pre-training for visually rich webpage understanding","hongshen xu, lu chen, zihan zhao, da ma, ruisheng cao, zichen zhu, kai yu","computation and language","the growing prevalence of visually rich documents, such as webpages and scanned/digital-born documents (images, pdfs, etc.), has led to increased interest in automatic document understanding and information extraction across academia and industry. although various document modalities, including image, text, layout, and structure, facilitate human information retrieval, the interconnected nature of these modalities presents challenges for neural networks. in this paper, we introduce weblm, a multimodal pre-training network designed to address the limitations of solely modeling text and structure modalities of html in webpages. instead of processing document images as unified natural images, weblm integrates the hierarchical structure of document images to enhance the understanding of markup-language-based documents. additionally, we propose several pre-training tasks to model the interaction among text, structure, and image modalities effectively. empirical results demonstrate that the pre-trained weblm significantly surpasses previous state-of-the-art pre-trained models across several webpage understanding tasks. the pre-trained models and code are available at this https url.",2024-02-28
"16","on the use of silver standard data for zero-shot classification tasks in information extraction","jianwei wang, tianyin wang, ziqian zeng","computation and language","the superior performance of supervised classification methods in the information extraction (ie) area heavily relies on a large amount of gold standard data. recent zero-shot classification methods converted the task to other nlp tasks (e.g., textual entailment) and used off-the-shelf models of these nlp tasks to directly perform inference on the test data without using a large amount of ie annotation data. a potentially valuable by-product of these methods is the large-scale silver standard data, i.e., pseudo-labeled data by the off-the-shelf models of other nlp tasks. however, there is no further investigation into the use of these data. in this paper, we propose a new framework, clean-lave, which aims to utilize silver standard data to enhance the zero-shot performance. clean-lave includes four phases: (1) obtaining silver data; (2) identifying relatively clean data from silver data; (3) finetuning the off-the-shelf model using clean data; (4) inference on the test data. the experimental results show that clean-lave can outperform the baseline by 5% and 6% on tacred and wiki80 dataset in the zero-shot relation classification task, and by 3%-7% on smile (korean and polish) in the zero-shot cross-lingual relation classification task, and by 8% on ace05-e+ in the zero-shot event argument classification task. the code is share in this https url.",2024-02-28
"17","mixer is more than just a model","qingfeng ji, yuxin wang, letong sun","machine learning","recently, mlp structures have regained popularity, with mlp-mixer standing out as a prominent example. in the field of computer vision, mlp-mixer is noted for its ability to extract data information from both channel and token perspectives, effectively acting as a fusion of channel and token information. indeed, mixer represents a paradigm for information extraction that amalgamates channel and token information. the essence of mixer lies in its ability to blend information from diverse perspectives, epitomizing the true concept of ""mixing"" in the realm of neural network architectures. beyond channel and token considerations, it is possible to create more tailored mixers from various perspectives to better suit specific task requirements. this study focuses on the domain of audio recognition, introducing a novel model named audio spectrogram mixer with roll-time and hermit fft (asm-rh) that incorporates insights from both time and frequency domains. experimental results demonstrate that asm-rh is particularly well-suited for audio data and yields promising outcomes across multiple classification tasks. the models and optimal weights files will be published.",2024-02-28
"18","deep learning based named entity recognition models for recipes","mansi goel, ayush agarwal, shubham agrawal, janak kapuriya, akhil vamshi konam, rishabh gupta, shrey rastogi, niharika, ganesh bagler","computation and language","food touches our lives through various endeavors, including flavor, nourishment, health, and sustainability. recipes are cultural capsules transmitted across generations via unstructured text. automated protocols for recognizing named entities, the building blocks of recipe text, are of immense value for various applications ranging from information extraction to novel recipe generation. named entity recognition is a technique for extracting information from unstructured or semi-structured data with known labels. starting with manually-annotated data of 6,611 ingredient phrases, we created an augmented dataset of 26,445 phrases cumulatively. simultaneously, we systematically cleaned and analyzed ingredient phrases from recipedb, the gold-standard recipe data repository, and annotated them using the stanford ner. based on the analysis, we sampled a subset of 88,526 phrases using a clustering-based approach while preserving the diversity to create the machine-annotated dataset. a thorough investigation of ner approaches on these three datasets involving statistical, fine-tuning of deep learning-based language models and few-shot prompting on large language models (llms) provides deep insights. we conclude that few-shot prompting on llms has abysmal performance, whereas the fine-tuned spacy-transformer emerges as the best model with macro-f1 scores of 95.9%, 96.04%, and 95.71% for the manually-annotated, augmented, and machine-annotated datasets, respectively.",2024-02-27
"19","domain embeddings for generating complex descriptions of concepts in italian language","alessandro maisto","computation and language","in this work, we propose a distributional semantic resource enriched with linguistic and lexical information extracted from electronic dictionaries, designed to address the challenge of bridging the gap between the continuous semantic values represented by distributional vectors and the discrete descriptions offered by general semantics theory. recently, many researchers have concentrated on the nexus between embeddings and a comprehensive theory of semantics and meaning. this often involves decoding the representation of word meanings in distributional models into a set of discrete, manually constructed properties such as semantic primitives or features, using neural decoding techniques. our approach introduces an alternative strategy grounded in linguistic data. we have developed a collection of domain-specific co-occurrence matrices, derived from two sources: a classification of italian nouns categorized into 4 semantic traits and 20 concrete noun sub-categories, and a list of italian verbs classified according to their semantic classes. in these matrices, the co-occurrence values for each word are calculated exclusively with a defined set of words pertinent to a particular lexical domain. the resource comprises 21 domain-specific matrices, one comprehensive matrix, and a graphical user interface. our model facilitates the generation of reasoned semantic descriptions of concepts by selecting matrices directly associated with concrete conceptual knowledge, such as a matrix based on location nouns and the concept of animal habitats. we assessed the utility of the resource through two experiments, achieving promising outcomes in both: the automatic classification of animal nouns and the extraction of animal features.",2024-02-26
"20","dcvsmnet: double cost volume stereo matching network","mahmoud tahmasebi, saif huq, kevin meehan, marion mcafee","computer vision and pattern recognition","we introduce double cost volume stereo matching network(dcvsmnet) which is a novel architecture characterised by by two small upper (group-wise) and lower (norm correlation) cost volumes. each cost volume is processed separately, and a coupling module is proposed to fuse the geometry information extracted from the upper and lower cost volumes. dcvsmnet is a fast stereo matching network with a 67 ms inference time and strong generalization ability which can produce competitive results compared to state-of-the-art methods. the results on several bench mark datasets show that dcvsmnet achieves better accuracy than methods such as cgi-stereo and bgnet at the cost of greater inference time.",2024-02-26
"21","a joint communication and computation design for probabilistic semantic communications","zhouxiang zhao, zhaohui yang, mingzhe chen, zhaoyang zhang, h. vincent poor","information theory","in this paper, the problem of joint transmission and computation resource allocation for a multi-user probabilistic semantic communication (psc) network is investigated. in the considered model, users employ semantic information extraction techniques to compress their large-sized data before transmitting them to a multi-antenna base station (bs). our model represents large-sized data through substantial knowledge graphs, utilizing shared probability graphs between the users and the bs for efficient semantic compression. the resource allocation problem is formulated as an optimization problem with the objective of maximizing the sum of equivalent rate of all users, considering total power budget and semantic resource limit constraints. the computation load considered in the psc network is formulated as a non-smooth piecewise function with respect to the semantic compression ratio. to tackle this non-convex non-smooth optimization challenge, a three-stage algorithm is proposed where the solutions for the receive beamforming matrix of the bs, transmit power of each user, and semantic compression ratio of each user are obtained stage by stage. numerical results validate the effectiveness of our proposed scheme.",2024-02-26
"22","iepile: unearthing large-scale schema-based information extraction corpus","honghao gui, hongbin ye, lin yuan, ningyu zhang, mengshu sun, lei liang, huajun chen","computation and language","large language models (llms) demonstrate remarkable potential across various domains; however, they exhibit a significant performance gap in information extraction (ie). note that high-quality instruction data is the vital key for enhancing the specific capabilities of llms, while current ie datasets tend to be small in scale, fragmented, and lack standardized schema. to this end, we introduce iepile, a comprehensive bilingual (english and chinese) ie instruction corpus, which contains approximately 0.32b tokens. we construct iepile by collecting and cleaning 33 existing ie datasets, and introduce schema-based instruction generation to unearth a large-scale corpus. experimental results on llama and baichuan demonstrate that using iepile can enhance the performance of llms for ie, especially the zero-shot generalization. we open-source the resource and pre-trained models, hoping to provide valuable support to the nlp community.",2024-02-22
"23","llm-da: data augmentation via large language models for few-shot named entity recognition","junjie ye, nuo xu, yikun wang, jie zhou, qi zhang, tao gui, xuanjing huang","computation and language","despite the impressive capabilities of large language models (llms), their performance on information extraction tasks is still not entirely satisfactory. however, their remarkable rewriting capabilities and extensive world knowledge offer valuable insights to improve these tasks. in this paper, we propose $llm-da$, a novel data augmentation technique based on llms for the few-shot ner task. to overcome the limitations of existing data augmentation methods that compromise semantic integrity and address the uncertainty inherent in llm-generated text, we leverage the distinctive characteristics of the ner task by augmenting the original data at both the contextual and entity levels. our approach involves employing 14 contextual rewriting strategies, designing entity replacements of the same type, and incorporating noise injection to enhance robustness. extensive experiments demonstrate the effectiveness of our approach in enhancing ner model performance with limited data. furthermore, additional analyses provide further evidence supporting the assertion that the quality of the data we generate surpasses that of other existing methods.",2024-02-22
"24","hint: high-quality inpainting transformer with mask-aware encoding and enhanced attention","shuang chen, amir atapour-abarghouei, hubert p. h. shum","computer vision and pattern recognition","existing image inpainting methods leverage convolution-based downsampling approaches to reduce spatial dimensions. this may result in information loss from corrupted images where the available information is inherently sparse, especially for the scenario of large missing regions. recent advances in self-attention mechanisms within transformers have led to significant improvements in many computer vision tasks including inpainting. however, limited by the computational costs, existing methods cannot fully exploit the efficacy of long-range modelling capabilities of such models. in this paper, we propose an end-to-end high-quality inpainting transformer, abbreviated as hint, which consists of a novel mask-aware pixel-shuffle downsampling module (mpd) to preserve the visible information extracted from the corrupted image while maintaining the integrity of the information available for high-level inferences made within the model. moreover, we propose a spatially-activated channel attention layer (scal), an efficient self-attention mechanism interpreting spatial awareness to model the corrupted image at multiple scales. to further enhance the effectiveness of scal, motivated by recent advanced in speech recognition, we introduce a sandwich structure that places feed-forward networks before and after the scal module. we demonstrate the superior performance of hint compared to contemporary state-of-the-art models on four datasets, celeba, celeba-hq, places2, and dunhuang.",2024-02-22
"25","combining language and graph models for semi-structured information extraction on the web","zhi hong, kyle chard, ian foster","information retrieval","relation extraction is an efficient way of mining the extraordinary wealth of human knowledge on the web. existing methods rely on domain-specific training data or produce noisy outputs. we focus here on extracting targeted relations from semi-structured web pages given only a short description of the relation. we present graphscholarbert, an open-domain information extraction method based on a joint graph and language model structure. graphscholarbert can generalize to previously unseen domains without additional data or training and produces only clean extraction results matched to the search keyword. experiments show that graphscholarbert can improve extraction f1 scores by as much as 34.8\% compared to previous work in a zero-shot domain and zero-shot website setting.",2024-02-21
"26","a simple but effective approach to improve structured language model output for information extraction","yinghao li, rampi ramprasad, chao zhang","computation and language","large language models (llms) have demonstrated impressive abilities in generating unstructured natural language according to instructions. however, their performance can be inconsistent when tasked with producing text that adheres to specific structured formats, which is crucial in applications like named entity recognition (ner) or relation extraction (re). to address this issue, this paper introduces an efficient method, g&o, to enhance their structured text generation capabilities. it breaks the generation into a two-step pipeline: initially, llms generate answers in natural language as intermediate responses. subsequently, llms are asked to organize the output into the desired structure, using the intermediate responses as context. g&o effectively separates the generation of content from the structuring process, reducing the pressure of completing two orthogonal tasks simultaneously. tested on zero-shot ner and re, the results indicate a significant improvement in llm performance with minimal additional efforts. this straightforward and adaptable prompting technique can also be combined with other strategies, like self-consistency, to further elevate llm capabilities in various structured text generation tasks.",2024-02-20
"27","creating a fine grained entity type taxonomy using llms","michael gunn, dohyun park, nidhish kamath","computation and language","in this study, we investigate the potential of gpt-4 and its advanced iteration, gpt-4 turbo, in autonomously developing a detailed entity type taxonomy. our objective is to construct a comprehensive taxonomy, starting from a broad classification of entity types - including objects, time, locations, organizations, events, actions, and subjects - similar to existing manually curated taxonomies. this classification is then progressively refined through iterative prompting techniques, leveraging gpt-4's internal knowledge base. the result is an extensive taxonomy comprising over 5000 nuanced entity types, which demonstrates remarkable quality upon subjective evaluation.
we employed a straightforward yet effective prompting strategy, enabling the taxonomy to be dynamically expanded. the practical applications of this detailed taxonomy are diverse and significant. it facilitates the creation of new, more intricate branches through pattern-based combinations and notably enhances information extraction tasks, such as relation extraction and event argument extraction. our methodology not only introduces an innovative approach to taxonomy creation but also opens new avenues for applying such taxonomies in various computational linguistics and ai-related fields.",2024-02-19
"28","codeart: better code models by attention regularization when symbols are lacking","zian su, xiangzhe xu, ziyang huang, zhuo zhang, yapeng ye, jianjun huang, xiangyu zhang","software engineering","transformer based code models have impressive performance in many software engineering tasks. however, their effectiveness degrades when symbols are missing or not informative. the reason is that the model may not learn to pay attention to the right correlations/contexts without the help of symbols. we propose a new method to pre-train general code models when symbols are lacking. we observe that in such cases, programs degenerate to something written in a very primitive language. we hence propose to use program analysis to extract contexts a priori (instead of relying on symbols and masked language modeling as in vanilla models). we then leverage a novel attention masking method to only allow the model attending to these contexts, e.g., bi-directional program dependence transitive closures and token co-occurrences. in the meantime, the inherent self-attention mechanism is utilized to learn which of the allowed attentions are more important compared to others. to realize the idea, we enhance the vanilla tokenization and model architecture of a bert model, construct and utilize attention masks, and introduce a new pre-training algorithm. we pre-train this bert-like model from scratch, using a dataset of 26 million stripped binary functions with explicit program dependence information extracted by our tool. we apply the model in three downstream tasks: binary similarity, type inference, and malware family classification. our pre-trained model can improve the sotas in these tasks from 53% to 64%, 49% to 60%, and 74% to 94%, respectively. it also substantially outperforms other general pre-training techniques of code understanding models.",2024-02-19
"29","c-icl: contrastive in-context learning for information extraction","ying mo, jian yang, jiahao liu, shun zhang, jingang wang, zhoujun li","computation and language","recently, there has been increasing interest in exploring the capabilities of advanced large language models (llms) in the field of information extraction (ie), specifically focusing on tasks related to named entity recognition (ner) and relation extraction (re). although researchers are exploring the use of few-shot information extraction through in-context learning with llms, they tend to focus only on using correct or positive examples for demonstration, neglecting the potential value of incorporating incorrect or negative examples into the learning process. in this paper, we present c-icl, a novel few-shot technique that leverages both correct and incorrect sample constructions to create in-context learning demonstrations. this approach enhances the ability of llms to extract entities and relations by utilizing prompts that incorporate not only the positive samples but also the reasoning behind them. this method allows for the identification and correction of potential interface errors. specifically, our proposed method taps into the inherent contextual information and valuable information in hard negative samples and the nearest positive neighbors to the test and then applies the in-context learning demonstrations based on llms. our experiments on various datasets indicate that c-icl outperforms previous few-shot in-context learning methods, delivering substantial enhancements in performance across a broad spectrum of related tasks. these improvements are noteworthy, showcasing the versatility of our approach in miscellaneous scenarios.",2024-02-17
"30","a question answering based pipeline for comprehensive chinese ehr information extraction","huaiyuan ying, sheng yu","computation and language","electronic health records (ehrs) hold significant value for research and applications. as a new way of information extraction, question answering (qa) can extract more flexible information than conventional methods and is more accessible to clinical researchers, but its progress is impeded by the scarcity of annotated data. in this paper, we propose a novel approach that automatically generates training data for transfer learning of qa models. our pipeline incorporates a preprocessing module to handle challenges posed by extraction types that are not readily compatible with extractive qa frameworks, including cases with discontinuous answers and many-to-one relationships. the obtained qa model exhibits excellent performance on subtasks of information extraction in ehrs, and it can effectively handle few-shot or zero-shot settings involving yes-no questions. case studies and ablation studies demonstrate the necessity of each component in our design, and the resulting model is deemed suitable for practical use.",2024-02-17
"31","construction of a syntactic analysis map for yi shui school through text mining and natural language processing research","hanqing zhao, yuehan li","computation and language","entity and relationship extraction is a crucial component in natural language processing tasks such as knowledge graph construction, question answering system design, and semantic analysis. most of the information of the yishui school of traditional chinese medicine (tcm) is stored in the form of unstructured classical chinese text. the key information extraction of tcm texts plays an important role in mining and studying the academic schools of tcm. in order to solve these problems efficiently using artificial intelligence methods, this study constructs a word segmentation and entity relationship extraction model based on conditional random fields under the framework of natural language processing technology to identify and extract the entity relationship of traditional chinese medicine texts, and uses the common weighting technology of tf-idf information retrieval and data mining to extract important key entity information in different ancient books. the dependency syntactic parser based on neural network is used to analyze the grammatical relationship between entities in each ancient book article, and it is represented as a tree structure visualization, which lays the foundation for the next construction of the knowledge graph of yishui school and the use of artificial intelligence methods to carry out the research of tcm academic schools.",2024-02-16
