"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"69","merrell men's moab 3 gtx hiking shoe","miese qualitt aber ich bin so faul","heinz","ich kaufe diese schuhe bzw das vorgngermodell seit vielen jahren ich habe schtzungsweise schon  paare gehabt bezahlt habe ich zwischen  und  ich kaufe sie immer wieder weil sie passen und ich keine lust habe mir neue passende schuhe zu suchen aber die qualitt dieser treter ist wirklich mies es ist immer das exakt gleiche problem auf der innenseite auf hhe des fuballens entsteht im obermaterial direkt am bergang zur sohle ein loch manchmal schon nach wochen habe ich reklamiert meistens dauert es ein halbes jahr und lnger kommt freilich drauf an wie viel man damit herumluft ich laufe damit etwa  bis  schritte am tag warum ich diese schuhe  gren grer kaufen musste als alle anderen schuhe die ich in den letzten  jahren getragen habe ist mir auch nicht ganz klar",2023-09-26,5,"verified purchase"
"70","merrell men's moab 3 gtx hiking shoe","vestono piccole","yulia","ho lo stesso modello senza gortex moab vent ho comprato laversione con gortex nella stessa taglia purtroppo vestono molto pi piccole al mio parere almeno  numero di meno sono anche notevolmente pi pesante di moab vent",2023-04-24,2,"verified purchase"
"71","merrell men's moab 3 gtx hiking shoe","buen zapato pero pequeo","capnhaddock","afortunadamente las prob en la tienda antes de comprarlas me alegro de haberlo hecho ya que tuve que comprar una talla ms de la habitualaparte de la talla son unos zapatos cmodos y robustos y excelentes para pasear por el campo",2023-08-08,4,"verified purchase"
"72","merrell men's moab 3 gtx hiking shoe","muita qualidade","carlos r","muito confirtveis",2023-10-24,5,"verified purchase"
"73","merrell men's moab 3 gtx hiking shoe","good quality shoe","mike griffiths","a good quality show with a great vibram sole",2023-05-02,5,"verified purchase"
"74","merrell men's moab 3 gtx hiking shoe","buy  size larger","halfdan","sturdy comfortable  but wears like a  not a  ",2023-06-30,4,"verified purchase"
"75","merrell men's moab 3 gtx hiking shoe","needed a pair of walking shoes for use in the summer","anthony walsh","the size fitting was spot on i bought them as i quite like the design i purchased them for use in the summer whilst out walking i have been on a few hikes now and i absolutely love them",2023-07-23,3,"verified purchase"
"76","merrell men's moab 3 gtx hiking shoe","sehr guter wanderschuh","herbert t","danke fr die schnelle lieferungda neuere schuhe seit jahren meist immer etwas kleiner ausfallen ist es ratsam dieschuhe mindestens eine schuhgre grer zu whlen da ich beim wandern gernedickere socken verwende habe ich zwei nummern grer gewhlt dies erspart mirjetzt auch einen umtauschdie schuhe machen einen sehr soliden eindruck die sohle ist sehr stabilwas sich aufsteinigem untergrund positiv bemerkbar machtich bin sehr zufrieden",2023-05-16,5,"verified purchase"
"77","merrell men's moab 3 gtx hiking shoe","good product and service","tom gitsham","i have bought merrill shoes and boots for years  this shoe is very good and comfortable",2023-09-19,5,"verified purchase"
"78","merrell men's moab 3 gtx hiking shoe","great fit","allan cowan","ive had these shoes before and going up a half size means i no longer get sore toes",2023-08-17,5,"verified purchase"
"79","merrell men's moab 3 gtx hiking shoe","excellent walking shoes","ptd","i had a pair of moab  shoes before that didnt quite fit right these moab s seem to have a bit more space in the toe box and are really comfortable didnt need breaking in fit well grip is good very happy with them",2023-05-20,5,"verified purchase"
"80","merrell men's moab 3 gtx hiking shoe","availability of sizes they fit","byron","well made shoe that fits comfortable and lasts well",2023-09-18,5,"verified purchase"
"81","merrell men's moab 3 gtx hiking shoe","da stimmt was nicht","schweden linde","nach wenigen tagen begann ein unangenehmes knacken bei jedem schritt im bereich der sohle des einen schuhes nach kurzer zeit auch dieses knacken im anderen schuh genau wie ein anderer kunde es schon beschrieb man denkt die sohle lst sich verwindet man den schuh mit der hand entstehen gerusche als ob der sohlenkleber zerbrselt die knackgerusche wurden immer aufdringlicher diese erfahrungen musste ich mit zwei paar dieser schuhe machen die ich jeweils zurck geschickt habeeigentlich ein toller schuh passform aussehen aber mit diesem mangel nicht zu tragen",2024-01-04,4,"verified purchase"
"82","merrell men's moab 3 gtx hiking shoe","quality","cyrano","theese trainers are suberb quaityso much so this is thr nd pair i have bought tried tested and passed with flying coulers",2023-07-22,1,"verified purchase"
"83","merrell men's moab 3 gtx hiking shoe","good walking shoe","john m","i bought these to replace a pair of lightweight walking shoes that had given me good servicethey are well made and although a bit tight and stiff initially they are now wearing in and are very comfortable and have good gripa good summer walking shoe for not too difficult terrain",2023-05-04,5,"verified purchase"
"84","merrell men's moab 3 gtx hiking shoe","la merrell moab  gtx chausse petit","patrice castano","la merrell moab  gtx chausse petit",2023-01-24,5,"verified purchase"
"85","merrell men's moab 3 gtx hiking shoe","robustfllt aber sehr klein aus","maik bk","ich hab normal gre  den schickte ich aber zurck weil er runtherum drckte also  bestellt aber um so lnger ich mit dem schuh laufe des so mehr drckt er und wird unbequem ich bin am berlegen mir  oder gre  zu kaufen da her zwei sterne ab zug weil er soo klein aus fllt",2023-04-22,4,"verified purchase"
"86","merrell men's moab 3 gtx hiking shoe","wonderful","paulus maximus","very comfortable for my fat pasty feet and fit perfectlyi would definitely recommend",2023-07-20,3,"verified purchase"
"87","merrell men's moab 3 gtx hiking shoe","chaussures trs confortables","flora michel","trs confortable parfaites pour la randonne",2023-07-15,5,"verified purchase"
"88","merrell men's moab 3 gtx hiking shoe","comfortable and waterproof","h","i found these shoes a little strange at first as they have an insole that is quite high at the instep but after a few minutes i didnt notice any more and i now find them perfectly comfortable i notice other reviews question the waterproofing but i have found them to be perfectly waterproof so far its worth noting that there is a goretex gtx version of these shoes and a cheaper version without the goretex my gtx pair are waterproofall in all i would recommend",2022-11-18,5,"verified purchase"
"89","merrell men's moab 3 gtx hiking shoe","wrong size sent","amazon customer","like the product shame amazon sent the wrong size",2024-02-14,5,"verified purchase"
"90","merrell men's moab 3 gtx hiking shoe","comfort","peter mulley","these shoes are so comfortable you can use them from anything to hiking or just a walk to the pub",2023-05-23,1,"verified purchase"
"91","merrell men's moab 3 gtx hiking shoe","there is a raised seam on the inside of the heel","amazon customer","i purchased  pairs of the moab  one size  and one all  shoes had a raised seam half way up the inside back of the heel  it is easily felt with your fingergave both pairs a try and ended up with a sore point on the back of each heelstopped short of a blister and returned both pairs",2023-05-24,4,"verified purchase"
"92","merrell men's moab 3 gtx hiking shoe","great shoe if your shoe is  order a ","ray third","very light and very comfortable shoe great arch support",2023-07-18,2,"verified purchase"
"93","merrell men's moab 3 gtx hiking shoe","excellent rapport qualit prix","vf","trs confortables mon mari les adore",2023-06-09,5,"verified purchase"
"94","merrell men's moab 3 gtx hiking shoe","completely unwearable","julio geordio","this shoe has a sharp abrasive seam in the centre of the heel that gave me a blister in the first  minutes of putting them on a catastrophic design fault merrell have gone to the dogs thats the last time i order shoes from them",2023-12-04,5,"verified purchase"
"95","merrell men's moab 3 gtx hiking shoe","great purchase","dowleys","great purchase",2023-07-07,1,"verified purchase"
"96","merrell men's moab 3 gtx hiking shoe","qualittskontrolle bei merrell voll versagt","carl barks","habe schon mehrere merrell meist mob  wanderschuhe gekauft jetzt mob  merrell wanderschuhe gekauft bin sofort losgewandert war bei merrell sonst immer mglich habe die kritik von  mbe gelesen leider ignoriert also wanderung schon nach kurzer zeit abgebrochen konnte wg der naht im fersenbereich keinen schritt mehr laufen die naht ist messerscharf  vielleicht ein bisschen bertrieben jedenfalls ins nchste stdtle gefahren und dort neue wanderschuhe von skechers gekauft  wusste gar nicht dass die so was haben danach problemlos weiter gewandert ca km in  tagen da hat die qualittskontrolle bei merrell voll versagt falls sie diese berhaupt noch haben wie kann man eine naht an so eine neuralgische stelle anbringen verstehe ich nicht waren wohl meine letzten merrell schade ps konnte sie weil ich ja unterwegs war nicht rechtzeitig zurckschicken",2023-08-17,5,"verified purchase"
"97","merrell men's moab 3 gtx hiking shoe","ottime","xtvp","molto comode prese mezza taglia in pi rispetto alla mia taglia perch sapevo che calzano stretti  se si usano calzini pi spessi consiglio addirittura una taglia in pi",2023-04-18,1,"verified purchase"
"98","merrell men's moab 3 gtx hiking shoe","merrell","amazon customer","excelent shoes",2023-05-25,5,"verified purchase"
"99","merrell men's moab 3 gtx hiking shoe","cmodas pero con arrugas en su parte superior delantera","miguel","de momento son cmodas pero vienen con unas arrugas en la parte de arriba que las afean un poco parece que sobra tela en esa zona debera quedar ms lisa y la tela estirada la verdad es que me parece un poco extrao que sea as",2023-04-30,5,"verified purchase"
"100","merrell men's moab 3 gtx hiking shoe","alles gut","miguel","der irrtmlich zu klein geschickte und retournierte schuh wurde durch die  bestellte passende gre ersetzt der schuh kam nun ordentlich verpackt in der gewohnt guten merrelqualitt an",2022-10-25,2,"verified purchase"
"101","wrangler-zm6admd-cargo-shorts-medium","excellent product","isaac williams","been wearing these for years they hold up well and are very comfortable recommended",2023-12-15,4,"verified purchase"
"102","wrangler-zm6admd-cargo-shorts-medium","size","richard p jaillet","i bought a size smaller they are stretch pants so they fit perfect",2023-12-17,5,"verified purchase"
"103","wrangler-zm6admd-cargo-shorts-medium","a great investment for anyone looking for comfortable durable and versatile shorts","michael l","i recently purchased the wrangler authentics mens classic cargo stretch short and i am thoroughly impressed with my purchase these shorts are not only comfortable and versatile but they are also durable and stylishthe traditional cargo style is perfect for any occasion whether im going hiking or just running errands the relaxed fit sits at the natural waist with a relaxed seat and fit through the thighs making them extremely comfortable to wear all day long plus with a inch inseam i never have to worry about them being too short or too longone of my favorite features of these shorts is the quickaccess storage they offer with  pockets including  side cargo flap pockets  slash pockets and  back patch pockets i have ample space to store my personal items and gadgets this is especially convenient when im onthego and need to have everything i need at my fingertipsthe materials used in these shorts are also incredibly durable i appreciate that they are offered in a variety of stretch fabrications including twill and rip stop ensuring they will last for years to come the heavyduty hardware including the zipper fly and button closure gives me peace of mind that they wont fall apart after just a few wearsoverall i highly recommend the wrangler authentics mens classic cargo stretch short i plan on purchasing more in different colors to add to my wardrobe",2023-04-02,5,"verified purchase"
"104","wrangler-zm6admd-cargo-shorts-medium","camo","raymond t","hide in the woods",2023-12-16,5,"verified purchase"
"105","wrangler-zm6admd-cargo-shorts-medium","shorts","jdeverly","husband really likes the cut and pockets on these pants",2023-10-01,5,"verified purchase"
"106","wrangler-zm6admd-cargo-shorts-medium","great fit genuine wranglers","klaus g","i am     and have them in  different colors size the slide in phone pocket is my favorite feature they have lots of belt loops to keep them up",2023-11-19,4,"verified purchase"
"107","wrangler-zm6admd-cargo-shorts-medium","very comfortable","rwl","they are very comfortable but i must warn that they run large  i wear a size  in wrangler jeans so i ordered a size  in these as well  when i tried them on i found the size  to be way too large so i exchanged them for size  which are a much better fit",2023-07-27,5,"verified purchase"
"108","wrangler-zm6admd-cargo-shorts-medium","favorite shorts","shenauk","like the extra pockets and one is perfect for cell phone",2023-12-02,4,"verified purchase"
"109","wrangler-zm6admd-cargo-shorts-medium","good product","sebastian","material en perfecto estado muy buena calidad",2023-09-21,5,"verified purchase"
"110","wrangler-zm6admd-cargo-shorts-medium","just what i needed","michael chesley","needed shorts for summer",2024-01-19,4,"verified purchase"
"111","wrangler-zm6admd-cargo-shorts-medium","to big","douglas dillenberger","my only complaint is after taking a measurement i had to go to one size larger and when my two shorts arrived they were way to big  i dont know why but they aredd",2023-08-01,4,"verified purchase"
"112","wrangler-zm6admd-cargo-shorts-medium","good value when on sale","jeff vanek","i would not pay full price for these but went on sale they are a very good value they are comfortable seem to hold up well",2023-08-09,4,"verified purchase"
"113","wrangler-zm6admd-cargo-shorts-medium","cargo denim jean shorts  my favorite","christopher a","i really like to wear denim cargo shorts and jeans  i use the pockets ive been wearing wrangler for years but havent been able to find them in stores for at least  years i needed more and found them online thank you",2023-09-24,4,"verified purchase"
"114","wrangler-zm6admd-cargo-shorts-medium","these fit very well good quality","charles domanski","i bought these to replace a different pair of shorts these are definitely worth the money ive always had denims by wrangler and they last a good long time and always fit perfectly",2023-06-10,5,"verified purchase"
"115","wrangler-zm6admd-cargo-shorts-medium","nice shorts but","j mcclung","i really like the shorts but it seems like the fabric got thinner",2023-08-12,4,"verified purchase"
"116","wrangler-zm6admd-cargo-shorts-medium","slightly bigger","charles bryson jr","they are a great buy run slightly bigger with plenty of room",2023-11-01,4,"verified purchase"
"117","wrangler-zm6admd-cargo-shorts-medium","size is way off","j  t awbrey","i wear a  waist there are like a  so order a size  and they will need a belt to keep them from falling off is i put anything in  my pockets got the  and they are still to big",2023-06-18,5,"verified purchase"
"118","wrangler-zm6admd-cargo-shorts-medium","cant beat these for the money","sparker","great shorts thats all",2023-11-21,4,"verified purchase"
"119","wrangler-zm6admd-cargo-shorts-medium","nice feel  rugged","amazon customer","cotton for comfort",2023-07-27,5,"verified purchase"
"120","wrangler-zm6admd-cargo-shorts-medium","husband loves","nikki campbell","my husband hates to shop so when we found these on amazon in his size we ordered them they fit him so well we will definitely be ordering more",2023-05-24,4,"verified purchase"
"121","wrangler-zm6admd-cargo-shorts-medium","bought these for my husband","barbara c","very nice shortsgood fitwe like wranglersgood price and color is perfect  he will not wear them til may though  got them in the green color and in the goldishtan color  love them",2023-10-08,4,"verified purchase"
"122","wrangler-zm6admd-cargo-shorts-medium","good  product at a fair price","halpcl","comfortable and nice looking",2023-07-06,5,"verified purchase"
"123","wrangler-zm6admd-cargo-shorts-medium","comfortable and well made","george blodgett","these include a phone pocket which is very handy i like the stretch for comfort",2023-10-16,4,"verified purchase"
"124","wrangler-zm6admd-cargo-shorts-medium","good buy","leoadler","these were as i hoped they would be good fitcomfortable",2023-09-11,5,"verified purchase"
"125","wrangler-zm6admd-cargo-shorts-medium","very comfortable wash well","samar w","very good quality  wash and wear  very comfortable",2023-10-26,4,"verified purchase"
"126","wrangler-zm6admd-cargo-shorts-medium","buy wrangler","d","like always wrangler does not disappoint",2023-10-17,5,"verified purchase"
"127","wrangler-zm6admd-cargo-shorts-medium","my favorite shorts","p fitz","great fit and great look",2023-11-06,5,"verified purchase"
"128","wrangler-zm6admd-cargo-shorts-medium","great shirts","larry jurkovich","was what i expected",2023-07-07,5,"verified purchase"
"129","wrangler-zm6admd-cargo-shorts-medium","fits big","prioska baruah","shouldve expected it since theyre mens jeans but they were baggier than expected still great quality",2023-06-22,4,"verified purchase"
"130","wrangler-zm6admd-cargo-shorts-medium","these are very good for me","jimb","i wear a size  depending on the pants  these really fit as expected and so far are pretty nice i just want to see how they hold up after the wash",2023-08-13,4,"verified purchase"
"131","wrangler-zm6admd-cargo-shorts-medium","fits well","bossduke","good fit",2023-09-01,4,"verified purchase"
"132","wrangler-zm6admd-cargo-shorts-medium","good shorts","deborah g mccauley","really like the shorts but due the stretchy nature of them i really needed a size  but only cones in  then ",2023-07-12,4,"verified purchase"
"133","wrangler-zm6admd-cargo-shorts-medium","the size","amy jackson","bought these for my son it is hard to find denim shorts with cargo pockets had already purchased a few pairs from wrangler we knew what we were getting size  is great for him",2023-08-15,4,"verified purchase"
"134","wrangler-zm6admd-cargo-shorts-medium","confy pants","jorge e pagan torres","on this high temps in pr this are just perfect and they are very easy to care offthey are very confy and keep a nice look after wash",2023-08-20,5,"verified purchase"
"135","wrangler-zm6admd-cargo-shorts-medium","it fit well","matt s","they are not jean material",2023-06-30,5,"verified purchase"
"136","wrangler-zm6admd-cargo-shorts-medium","these shorts are comfortable plus it is so nice to have the extra pockets","tpincda","purchased the camo shorts earlier this year for use doing yardwork etc  really liked how comfortable they are so decided to order a tan pair for more casual use  very happy with this purchase",2023-08-19,4,"verified purchase"
"137","wrangler-zm6admd-cargo-shorts-medium","did not really love these","omar","they look good but i didnt find them comfortable at all i wore them a couple times and then did not wear them again way too expensive too to be honest",2023-10-16,5,"verified purchase"
"138","wrangler-zm6admd-cargo-shorts-medium","fits as expected","john l","good shorts for big guy length good and seat full",2023-10-04,3,"verified purchase"
"139","wrangler-zm6admd-cargo-shorts-medium","good shorts","bobby s","dont know about the stretch part but they are comfortable",2023-09-14,5,"verified purchase"
