"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"12","Skechers Men's Diameter Zinroy Loafers","Perfecto","Miguel","Muy buena calidad. Muy cómodos. Tal y como esperaba, ajustándose perfectamente a la descripción del producto.","Reviewed in Spain on 21 October 2019","5.0 out of 5 stars","Verified Purchase"
"13","Skechers Men's Diameter Zinroy Loafers","Super Kauf","Bauer Alfred","Super Schuhe 👟","Reviewed in Germany on 31 August 2023","5.0 out of 5 stars","Verified Purchase"
"14","Skechers Men's Diameter Zinroy Loafers","Sketchers shoes","Amazon Customer","Great pair of Sketchers, lovely fit, very pleased, good value. Many thanks.","Reviewed in the United Kingdom on 18 February 2024","5.0 out of 5 stars","Verified Purchase"
"15","Skechers Men's Diameter Zinroy Loafers","Excellent service","Mikey F","The older Sketcher's styles are far better than this seasons versions. Can't believe that they arrived from Lerwick Shetland after a couple of days with the severe weather we've been having","Reviewed in the United Kingdom on 24 January 2024","5.0 out of 5 stars","Verified Purchase"
"16","Skechers Men's Diameter Zinroy Loafers","EXACTLY as described","Sharjazz","I am a very big fan of sketchers full stop.  These shoes in the past have given me comfort, and durability.Finding them in the sale was a great bonus.","Reviewed in the United Kingdom on 24 January 2024","5.0 out of 5 stars","Verified Purchase"
"17","Skechers Men's Diameter Zinroy Loafers","Good value","David C.","Sketchers are always good quality. This is my second pair of these particular type.Use them for work. Very good for walking.Good price at £40.","Reviewed in the United Kingdom on 30 December 2023","5.0 out of 5 stars","Verified Purchase"
"18","Skechers Men's Diameter Zinroy Loafers","Too big","rebecca taylor","Great shoe but go a size smaller","Reviewed in the United Kingdom on 5 January 2024","4.0 out of 5 stars","Verified Purchase"
"19","Skechers Men's Diameter Zinroy Loafers","Excellent","ronald","Perfect","Reviewed in the United States on 30 January 2024","4.0 out of 5 stars","Verified Purchase"
"20","Skechers Men's Diameter Zinroy Loafers","Good service","g-c","Usual good product price fair","Reviewed in the United Kingdom on 26 January 2024","4.0 out of 5 stars","Verified Purchase"
"21","Skechers Men's Diameter Zinroy Loafers","Extremely comfortable","J. Burtenshaw","I was recommended to buy these shoes. So comfortable I could wear them all day.","Reviewed in the United Kingdom on 16 January 2024","4.6 out of 5 stars","Verified Purchase"
"22","Skechers Men's Diameter Zinroy Loafers","Fitting excellent.","Alan Heaslip","A very nice product, supplied byBegg Shoes with a personal noteA very nice touch. Appreciated.I will use them again","Reviewed in the United Kingdom on 8 January 2024","5.0 out of 5 stars","Verified Purchase"
"23","Skechers Men's Diameter Zinroy Loafers","Excellent","Hayati","I am a taxi driver and these shoes excellent choice for long driving.","Reviewed in the United Kingdom on 12 January 2024","5.0 out of 5 stars","Verified Purchase"
"24","Skechers Men's Diameter Zinroy Loafers","Lovely fit and look smart!","Kirstin","Bought these for my partner and they look really smart and he's finding them really comfortable. Highly recommend!!!!","Reviewed in the United Kingdom on 2 January 2024","5.0 out of 5 stars","Verified Purchase"
"25","Skechers Men's Diameter Zinroy Loafers","Excellent shoes","Amazon Customer","Brilliant service, fast delivery. Thank you!","Reviewed in the United Kingdom on 5 January 2024","5.0 out of 5 stars","Verified Purchase"
"26","Skechers Men's Diameter Zinroy Loafers","Less bulky than a normal trainer","John Perry","Smart but modern unbuckle can be difficult to clean off scuffs","Reviewed in the United Kingdom on 1 January 2024","5.0 out of 5 stars","Verified Purchase"
"27","Skechers Men's Diameter Zinroy Loafers","great shoes well made","anthony b.","If you have wide feet go for half a size bigger than you normally get","Reviewed in the United Kingdom on 28 December 2023","5.0 out of 5 stars","Verified Purchase"
"28","Skechers Men's Diameter Zinroy Loafers","Product reliability","Brian William Bates","Good value","Reviewed in the United Kingdom on 5 January 2024","5.0 out of 5 stars","Verified Purchase"
"29","Skechers Men's Diameter Zinroy Loafers","Good","Paul C.","Good","Reviewed in the United Kingdom on 5 January 2024","5.0 out of 5 stars","Verified Purchase"
"30","Skechers Men's Diameter Zinroy Loafers","Sketchers","Diane Stanton","Bought for son very satisfied","Reviewed in the United Kingdom on 30 December 2023","5.0 out of 5 stars","Verified Purchase"
"31","Skechers Men's Diameter Zinroy Loafers","Wear them on your feet","Duncan","Does what it says on the tin. Very comfortable to wear. 10 million users can’t be wrong.","Reviewed in the United Kingdom on 18 December 2023","4.6 out of 5 stars","Verified Purchase"
"32","Skechers Men's Diameter Zinroy Loafers","Comfortable","Daniel K","Comfortable fit well","Reviewed in the United Kingdom on 20 December 2023","5.0 out of 5 stars","Verified Purchase"
"33","Skechers Men's Diameter Zinroy Loafers","Better replacement to my previous Sketchers!","RK","I originally had Sketchers (Oxford); I was a bit sceptical to go for these as replacement to my originally laced version. But they fit perfectly and the quality is superb!","Reviewed in the United Kingdom on 24 November 2023","5.0 out of 5 stars","Verified Purchase"
"34","Skechers Men's Diameter Zinroy Loafers","Great quality","paul whiteoak","Comfortable shoe, good value, fits well.","Reviewed in the United Kingdom on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"35","Skechers Men's Diameter Zinroy Loafers","Very comfortable","Alan Dunne","Had these for a few months now and really pleased with them.Comfortable and size was spot on (9.5}Stylish looking..look great with jeansWould definitely recommend","Reviewed in the United Kingdom on 19 November 2023","5.0 out of 5 stars","Verified Purchase"
"36","Skechers Men's Diameter Zinroy Loafers","Good","simon","Pleased","Reviewed in the United Kingdom on 10 December 2023","5.0 out of 5 stars","Verified Purchase"
"37","Skechers Men's Diameter Zinroy Loafers","Excellent","DR DANNY JONES","Just worn them for the 1st time . Excellent customer service with hand written note","Reviewed in the United Kingdom on 19 November 2023","5.0 out of 5 stars","Verified Purchase"
"38","Skechers Men's Diameter Zinroy Loafers","Just what I wanted","billlywizz","My favourite style, a replacement for the one's I've worn out! Just need to find the courage to throw the old one's out.","Reviewed in the United Kingdom on 11 November 2023","5.0 out of 5 stars","Verified Purchase"
"39","Skechers Men's Diameter Zinroy Loafers","Great quality value and stylish sketchers shoe.","Ronan O'Farrell","Very happy with my recent purchase of these stylish sketchers shoes which were great value and discounted a decent amount from the recommended retail price from other sellers.","Reviewed in the United Kingdom on 31 October 2023","5.0 out of 5 stars","Verified Purchase"
"40","Skechers Men's Diameter Zinroy Loafers","Shoe","Fred99","Great product. Comfort, ease to but on  Would recommend","Reviewed in the United Kingdom on 17 November 2023","5.0 out of 5 stars","Verified Purchase"
"41","Skechers Men's Diameter Zinroy Loafers","Good style","Amazon Customer","Hubby luv these and this one if really good","Reviewed in the United Kingdom on 2 August 2023","4.6 out of 5 stars","Verified Purchase"
"42","Skechers Men's Diameter Zinroy Loafers","Better than I thought","Paul R","Very comfortable and good support","Reviewed in the United Kingdom on 16 November 2023","4.0 out of 5 stars","Verified Purchase"
"43","Skechers Men's Diameter Zinroy Loafers","Great value","William","Very comfortable","Reviewed in the United Kingdom on 18 July 2023","5.0 out of 5 stars","Verified Purchase"
"44","Skechers Men's Diameter Zinroy Loafers","Nice shoes.","Kenneth Hager","Highly recommend.","Reviewed in the United States on 26 November 2023","4.0 out of 5 stars","Verified Purchase"
"45","Skechers Men's Diameter Zinroy Loafers","Review","Tim Quaid","Happy with this purchase, very comfortable shoes","Reviewed in the United Kingdom on 16 October 2023","5.0 out of 5 stars","Verified Purchase"
"46","Skechers Men's Diameter Zinroy Loafers","Best shoes I have ever had","MR A GIBSON","Just on to my second pair.  The first pair I have had for 3 years.  They are still in excellent condition.  So comfortable.  So well made.  Best purchase from Amazon easily!","Reviewed in the United Kingdom on 27 August 2023","5.0 out of 5 stars","Verified Purchase"
"47","Skechers Men's Diameter Zinroy Loafers","Very good product","David  this product is very good and  will be  buying  from the people  again","I have been  buying these  shoes for the last few years and  they  are  the best  shoes  i have ever had","Reviewed in the United Kingdom on 6 September 2023","5.0 out of 5 stars","Verified Purchase"
"48","Skechers Men's Diameter Zinroy Loafers","Sizing is accurate (for me at least)","Technobabble","Like these shoes a lot, I'm always a bit hesistant about buying shoes online, but these are great quality, sizing is accurate, light weight, comfortable and with good grip soles. They look constructed to last for a good while, but only time will tell on that score. I will be buying more Sketchers in future.","Reviewed in the United Kingdom on 13 July 2023","5.0 out of 5 stars","Verified Purchase"
"49","Skechers Men's Diameter Zinroy Loafers","Comfortable with excellent looks.","Lol","An extremely well fitting  pair of shoes with eye catching appearance.Colour blend particularly well done.","Reviewed in the United Kingdom on 22 September 2023","5.0 out of 5 stars","Verified Purchase"
"50","Skechers Men's Diameter Zinroy Loafers","Not the level of quality you usually get","Walker7","i know sketchers arent exactly luxury these feel like a step down from what im used to, normally the one thing you can count on is that theyll have a nice thick sole and be comfy to wear from day one. these ""USA"" ones have thin soles that arent nice and cushioned like youd normally expect, also despite buying the same size as i always have they feel slightly too large, like i should have taken the round size not te half as i usually doin their defense they do look nice so i cant gripe too much but they dont feel like theyll last as long as normal and theyre not as instantly comfortable as im used to","Reviewed in the United Kingdom on 4 April 2023","5.0 out of 5 stars","Verified Purchase"
"51","Merrell Men's Moab 3 GTX Hiking Shoe","Guter Schuh","R. W.","Habe auf die Rezensionen gehört und eine Nummer größer bestellt. Werde sie aber zurückschicken und 1,5 Nummern größer bestellen. Ansonsten alles ok.","Reviewed in Germany on 17 November 2023","4.3 out of 5 stars","Verified Purchase"
"52","Merrell Men's Moab 3 GTX Hiking Shoe","Super Qualität","Paul Hatarik","Wasserdicht und komfortabel","Reviewed in Germany on 2 December 2023","5.0 out of 5 stars","Verified Purchase"
"53","Merrell Men's Moab 3 GTX Hiking Shoe","Como un guante","MIGUEL LOPEZ","Son las segundas Merrell que tengo y son igual de cómodas que las anteriores que eran unas Capra (lo malo de estas eran los tacos que eran de 3,5 mm y la suela se desgasta rápido). Las Moab 3 las tienen de 5 mm así que espero que me duren más.","Reviewed in Spain on 30 September 2023","5.0 out of 5 stars","Verified Purchase"
"54","Merrell Men's Moab 3 GTX Hiking Shoe","Great value","Boots","For my walking in non-winter conditions but when it can be wet.","Reviewed in the United Kingdom on 25 November 2023","5.0 out of 5 stars","Verified Purchase"
"55","Merrell Men's Moab 3 GTX Hiking Shoe","Buenas zapatillas.","Cliente Amazon","Si las encuentras en oferta perfecto. Buena suela.","Reviewed in Spain on 17 November 2023","5.0 out of 5 stars","Verified Purchase"
"56","Merrell Men's Moab 3 GTX Hiking Shoe","Get half a size bigger","unimportant","Seriously comfortable hikers.Half a size bigger than normal fits me perfectly.Put the waterproof claim to a gentle test (long, wet grass) and it was fine.I like the low-profile look of these shoes. I have read some of the key professional review sites' opinions on these shoes and they say they 'do not look modern enough'. Well, give me that every time if that means they look like normal trainers and they perform like proper waterproof hikers.I'll admit I don't have the same confidence in these shoes' waterproof capability as I do with my Salomon X Ultra 4 GTX (which pretty much failed in the uppers after three years).But I went in with my eyes open and the Moab 3 GTXs are a great buy, in my opinion.","Reviewed in the United Kingdom on 18 July 2023","5.0 out of 5 stars","Verified Purchase"
"57","Merrell Men's Moab 3 GTX Hiking Shoe","Walking shoes","Barry","Sturdy, waterproof and breathable.","Reviewed in the United Kingdom on 28 November 2023","5.0 out of 5 stars","Verified Purchase"
"58","Merrell Men's Moab 3 GTX Hiking Shoe","comfort","john durie","Liked the fit, comfort for long walksDo not have any dislikes .","Reviewed in the United Kingdom on 18 November 2023","5.0 out of 5 stars","Verified Purchase"
"59","Merrell Men's Moab 3 GTX Hiking Shoe","Impressed","Mayflip","Impressed after two thirty minute dog walks. Does seem to be waterproof enough after walking on wet grass and comfortable enough. I ordered a half size larger than usual side and glad I did as fitting a bit narrow. Hoping it gives with a bit more wear. And purchased at a really good price.Update: just walked dog in the pouring rain and feet remained dry. Good waterproofing.","Reviewed in the United Kingdom on 10 September 2023","5.0 out of 5 stars","Verified Purchase"
"60","Merrell Men's Moab 3 GTX Hiking Shoe","Exchange handles very well and promptly","Alvin Kickin","An impressive product- I needed a bigger size and an exchange was handled well with no issues.","Reviewed in the United Kingdom on 28 June 2023","5.0 out of 5 stars","Verified Purchase"
"61","Merrell Men's Moab 3 GTX Hiking Shoe","In time, exactly what I want","Ced W.","Top product","Reviewed in Germany on 12 August 2023","4.3 out of 5 stars","Verified Purchase"
"62","Merrell Men's Moab 3 GTX Hiking Shoe","Excellent","annon2302","Brilliant price great shoes.","Reviewed in the United Kingdom on 25 November 2023","4.0 out of 5 stars","Verified Purchase"
"63","Merrell Men's Moab 3 GTX Hiking Shoe","Chausse petit","Eric DELATTRE","Rien à redire sur la grande qualité de ce produit. Toutefois, ce modèle chausse vraiment petit !Au moins une pointure voire même 1,5 pointure au dessus est vraiment nécessaire.","Reviewed in France on 3 April 2023","5.0 out of 5 stars","Verified Purchase"
"64","Merrell Men's Moab 3 GTX Hiking Shoe","Excellent quality","STANNIBLADE","Gave the item 5 stars although I had to return them (ordered the wrong size!).Superb quality","Reviewed in the United Kingdom on 7 November 2023","4.0 out of 5 stars","Verified Purchase"
"65","Merrell Men's Moab 3 GTX Hiking Shoe","Nicht die gewohnte Qualität / Fühlt sich wie ausgelatscht an","Justus","Den Moab 3GTX hatte ich zuvor bei Sportscheck gekauft und war damit sehr zufrieden. Bei Ama gab`s Anfang Oktober ein Angebot, also kurz vor der Matschzeit im Dez. Nachdem ich den Schuh jetzt ein paar Mal getragen habe (Dez 23), fühlt sich der rechte Schuh viel zu weit an. So, als wäre er ausgelatscht oder ein Anprobierschuh aus dem Laden (wo man immer nur den rechten Schuh zum Anprobieren bekommt).","Reviewed in Germany on 2 January 2024","5.0 out of 5 stars","Verified Purchase"
"66","Merrell Men's Moab 3 GTX Hiking Shoe","Taille petit","G. Michel","Bonne qualité mais le 43,5 me va bien alors que je fais habituellement du 42","Reviewed in France on 10 September 2023","2.0 out of 5 stars","Verified Purchase"
"67","Merrell Men's Moab 3 GTX Hiking Shoe","Produit parfait","GRAFF THIERRY","Produit parfait","Reviewed in France on 25 September 2023","5.0 out of 5 stars","Verified Purchase"
"68","Merrell Men's Moab 3 GTX Hiking Shoe","The best","S.Dallison","2nd pair of these. Replaced after 6 years. Worn every day dog walking in fields. Many many miles! . Always ordered half size bigger. Fit like a glove. So comfy and always dry feet. Never had any issues apart from lace change after 3 years. Excellent!.","Reviewed in the United Kingdom on 23 August 2023","5.0 out of 5 stars","Verified Purchase"
"69","Merrell Men's Moab 3 GTX Hiking Shoe","Miese Qualität, aber ich bin so faul","Heinz1954","Ich kaufe diese Schuhe bzw. das Vorgängermodell seit vielen Jahren. Ich habe schätzungsweise schon 10 Paare gehabt. Bezahlt habe ich zwischen 50 und 130€. Ich kaufe sie immer wieder, weil sie passen und ich keine Lust habe, mir neue passende Schuhe zu suchen. Aber die Qualität dieser Treter ist wirklich mies. Es ist immer das exakt gleiche Problem: Auf der Innenseite auf Höhe des Fußballens entsteht im Obermaterial direkt am Übergang zur Sohle ein Loch. Manchmal schon nach Wochen (habe ich reklamiert), meistens dauert es ein halbes Jahr und länger. Kommt freilich drauf an, wie viel man damit herumläuft. ich laufe damit etwa 6000 bis 7000 Schritte am Tag. Warum ich diese Schuhe 1,5 Größen größer kaufen musste, als alle anderen Schuhe, die ich in den letzten 30 Jahren getragen habe, ist mir auch nicht ganz klar.","Reviewed in Germany on 26 September 2023","5.0 out of 5 stars","Verified Purchase"
"70","Merrell Men's Moab 3 GTX Hiking Shoe","vestono piccole","Yulia","Ho lo stesso modello senza gortex (Moab Vent). Ho comprato laversione con gortex nella stessa taglia. Purtroppo vestono molto più piccole (al mio parere almeno 1 numero di meno). Sono anche notevolmente più pesante di Moab Vent.","Reviewed in Italy on 24 April 2023","2.0 out of 5 stars","Verified Purchase"
"71","Merrell Men's Moab 3 GTX Hiking Shoe","Buen zapato pero pequeño","Capn_Haddock","Afortunadamente las probé en la tienda antes de comprarlas. Me alegro de haberlo hecho ya que tuve que comprar una talla más de la habitual.Aparte de la talla, son unos zapatos cómodos y robustos y excelentes para pasear por el campo.","Reviewed in Spain on 8 August 2023","4.3 out of 5 stars","Verified Purchase"
"72","Merrell Men's Moab 3 GTX Hiking Shoe","Muita qualidade","Carlos R.","Muito confirtáveis","Reviewed in Spain on 24 October 2023","5.0 out of 5 stars","Verified Purchase"
"73","Merrell Men's Moab 3 GTX Hiking Shoe","Good quality shoe","Mike Griffiths","A good quality show with a great Vibram sole.","Reviewed in the United Kingdom on 2 May 2023","5.0 out of 5 stars","Verified Purchase"
"74","Merrell Men's Moab 3 GTX Hiking Shoe","Buy 1/2 size larger.","Halfdan.","Sturdy, comfortable,  but wears like a 9, not a 9 1/2.","Reviewed in the United Kingdom on 30 June 2023","4.0 out of 5 stars","Verified Purchase"
"75","Merrell Men's Moab 3 GTX Hiking Shoe","Needed a pair of walking shoes for use in the summer","Anthony Walsh","The size fitting was spot on, I bought them as I quite like the design, I purchased them for use in the summer whilst out walking. I have been on a few hikes now and I absolutely love them.","Reviewed in the United Kingdom on 23 July 2023","3.0 out of 5 stars","Verified Purchase"
"76","Merrell Men's Moab 3 GTX Hiking Shoe","Sehr guter Wanderschuh","Herbert T.","Danke für die schnelle Lieferung.Da ""neuere"" Schuhe seit Jahren meist immer etwas kleiner ausfallen, ist es ratsam dieSchuhe mindestens eine Schuhgröße größer zu wählen. Da ich beim Wandern gernedickere Socken verwende, habe ich zwei Nummern größer gewählt. Dies erspart mirjetzt auch einen Umtausch.Die Schuhe machen einen sehr soliden Eindruck, die Sohle ist sehr stabil,was sich aufsteinigem Untergrund positiv bemerkbar macht.Ich bin sehr zufrieden.","Reviewed in Germany on 16 May 2023","5.0 out of 5 stars","Verified Purchase"
"77","Merrell Men's Moab 3 GTX Hiking Shoe","Good product and Service","Tom Gitsham","I have bought Merrill shoes and boots for years.  This shoe is very good and comfortable","Reviewed in the United Kingdom on 19 September 2023","5.0 out of 5 stars","Verified Purchase"
"78","Merrell Men's Moab 3 GTX Hiking Shoe","Great fit","Allan Cowan","I’ve had these shoes before, and going up a half size means I no longer get sore toes.","Reviewed in the United Kingdom on 17 August 2023","5.0 out of 5 stars","Verified Purchase"
"79","Merrell Men's Moab 3 GTX Hiking Shoe","Excellent walking shoes","PTD","I had a pair of Moab 2 shoes before that didn’t quite fit right. These Moab 3s seem to have a bit more space in the toe box and are really comfortable. Didn’t need breaking in, fit well, grip is good. Very happy with them.","Reviewed in the United Kingdom on 20 May 2023","5.0 out of 5 stars","Verified Purchase"
"80","Merrell Men's Moab 3 GTX Hiking Shoe","Availability of sizes, they fit","Byron","Well made shoe that fits, comfortable and lasts well","Reviewed in the United Kingdom on 18 September 2023","5.0 out of 5 stars","Verified Purchase"
"81","Merrell Men's Moab 3 GTX Hiking Shoe","Da stimmt was nicht","Schweden Linde","Nach wenigen Tagen begann ein unangenehmes Knacken bei jedem Schritt im Bereich der Sohle des einen Schuhes. Nach kurzer Zeit auch dieses Knacken im anderen Schuh. Genau wie ein anderer Kunde es schon beschrieb: man denkt die Sohle löst sich. Verwindet man den Schuh mit der Hand entstehen Geräusche, als ob der Sohlenkleber zerbröselt. Die Knackgeräusche wurden immer aufdringlicher. Diese Erfahrungen musste ich mit zwei Paar dieser Schuhe machen die ich jeweils zurück geschickt habe.Eigentlich ein toller Schuh- Passform, Aussehen. Aber mit diesem Mangel nicht zu tragen.","Reviewed in Germany on 4 January 2024","4.3 out of 5 stars","Verified Purchase"
"82","Merrell Men's Moab 3 GTX Hiking Shoe","Quality","Cyrano","theese trainers are suberb quaity.So much so this is thr 2nd pair i have bought. Tried ,tested and passed with flying coulers.","Reviewed in the United Kingdom on 22 July 2023","1.0 out of 5 stars","Verified Purchase"
"83","Merrell Men's Moab 3 GTX Hiking Shoe","Good walking shoe","John M.","I bought these to replace a pair of lightweight walking shoes that had given me good service.They are well made and although a bit tight and stiff initially, they are now wearing in and are very comfortable and have good grip.A good summer walking shoe for not too difficult terrain.","Reviewed in the United Kingdom on 4 May 2023","5.0 out of 5 stars","Verified Purchase"
"84","Merrell Men's Moab 3 GTX Hiking Shoe","La Merrell Moab 3 GTX chausse petit","Patrice CASTANO","La Merrell Moab 3 GTX chausse petit","Reviewed in France on 24 January 2023","5.0 out of 5 stars","Verified Purchase"
"85","Merrell Men's Moab 3 GTX Hiking Shoe","Robust,fällt aber sehr klein aus.","Maik B.K.","Ich hab normal Größe 42, den schickte ich aber zurück weil er runtherum drückte, also 43 bestellt, aber um so länger ich mit dem Schuh laufe des so mehr drückt er und wird unbequem. Ich bin am überlegen mir 43,5 oder Größe 44 zu kaufen. Da her zwei Sterne ab Zug, weil er soo klein aus fällt.","Reviewed in Germany on 22 April 2023","4.0 out of 5 stars","Verified Purchase"
"86","Merrell Men's Moab 3 GTX Hiking Shoe","Wonderful!","Paulus Maximus","Very comfortable for my fat pasty feet and fit perfectly.I would definitely recommend.","Reviewed in the United Kingdom on 20 July 2023","3.0 out of 5 stars","Verified Purchase"
"87","Merrell Men's Moab 3 GTX Hiking Shoe","Chaussures très confortables","Flora MICHEL","Très confortable. Parfaites pour la randonnée.","Reviewed in France on 15 July 2023","5.0 out of 5 stars","Verified Purchase"
"88","Merrell Men's Moab 3 GTX Hiking Shoe","comfortable and waterproof","H","I found these shoes a little strange at first as they have an insole that is quite high at the instep. But after a few minutes I didn't notice any more and i now find them perfectly comfortable. I notice other reviews question the waterproofing, but I have found them to be perfectly waterproof so far. It's worth noting that there is a Goretex (GTX) version of these shoes and a cheaper version without the Goretex. My GTX pair are waterproof.All in all I would recommend.","Reviewed in the United Kingdom on 18 November 2022","5.0 out of 5 stars","Verified Purchase"
"89","Merrell Men's Moab 3 GTX Hiking Shoe","Wrong size sent","Amazon Customer","Like the product, shame Amazon sent the wrong size","Reviewed in the United Kingdom on 14 February 2024","5.0 out of 5 stars","Verified Purchase"
"90","Merrell Men's Moab 3 GTX Hiking Shoe","Comfort","Peter Mulley","These shoes are so comfortable you can use them from anything to hiking or just a walk to the Pub.","Reviewed in the United Kingdom on 23 May 2023","1.0 out of 5 stars","Verified Purchase"
"91","Merrell Men's Moab 3 GTX Hiking Shoe","There is a raised seam on the inside of the heel","Amazon Customer","I purchased 2 pairs of the Moab 3, one size 8.5 and one 9All 4 shoes had a raised seam half way up the inside back of the heel.  It is easily felt with your fingerGave both pairs a try and ended up with a sore point on the back of each heel.Stopped short of a blister and returned both pairs","Reviewed in the United Kingdom on 24 May 2023","4.3 out of 5 stars","Verified Purchase"
"92","Merrell Men's Moab 3 GTX Hiking Shoe","Great shoe if your shoe is 42 order a 43.","Ray third","Very light and very comfortable shoe, great arch support.","Reviewed in the United Kingdom on 18 July 2023","2.0 out of 5 stars","Verified Purchase"
"93","Merrell Men's Moab 3 GTX Hiking Shoe","Excellent rapport qualité prix","VF","Très confortables mon mari les adore","Reviewed in France on 9 June 2023","5.0 out of 5 stars","Verified Purchase"
"94","Merrell Men's Moab 3 GTX Hiking Shoe","Completely unwearable","Julio Geordio","This shoe has a sharp abrasive seam in the centre of the heel that gave me a blister in the first 45 minutes of putting them on. A catastrophic design fault. Merrell have gone to the dogs. That's the last time I order shoes from them.","Reviewed in the United Kingdom on 4 December 2023","5.0 out of 5 stars","Verified Purchase"
"95","Merrell Men's Moab 3 GTX Hiking Shoe","Great purchase","DOWLEYS","Great purchase","Reviewed in the United Kingdom on 7 July 2023","1.0 out of 5 stars","Verified Purchase"
"96","Merrell Men's Moab 3 GTX Hiking Shoe","Qualitätskontrolle bei Merrell voll versagt.","Carl Barks","Habe schon mehrere Merrell meist Mob 2 WANDERSCHUHE gekauft, jetzt Mob 3 Merrell WANDERSCHUHE gekauft, bin sofort losgewandert, war bei Merrell sonst immer möglich, habe die Kritik von  MBE gelesen, leider ignoriert. Also, Wanderung schon nach kurzer Zeit abgebrochen, konnte wg. Der Naht im Fersenbereich keinen Schritt mehr laufen, die Naht ist Messerscharf,  vielleicht ein bisschen übertrieben, jedenfalls ins nächste Städtle gefahren und dort neue WANDERSCHUHE von Skechers gekauft,  wusste gar nicht dass die so was haben. Danach problemlos weiter gewandert, ca.200 km in 6 Tagen. Da hat die Qualitätskontrolle bei Merrell voll versagt, falls sie diese überhaupt noch haben. Wie kann man eine Naht an so eine neuralgische Stelle anbringen. Verstehe ich nicht. Waren wohl meine letzten Merrell, Schade. PS: konnte sie, weil ich ja unterwegs war nicht rechtzeitig zurückschicken.","Reviewed in Germany on 17 August 2023","5.0 out of 5 stars","Verified Purchase"
"97","Merrell Men's Moab 3 GTX Hiking Shoe","ottime","X16TVP1","Molto comode, prese mezza taglia in più rispetto alla mia taglia perchè sapevo che calzano stretti.  Se si usano calzini più spessi consiglio addirittura una taglia in più.","Reviewed in Italy on 18 April 2023","1.0 out of 5 stars","Verified Purchase"
"98","Merrell Men's Moab 3 GTX Hiking Shoe","Merrell","Amazon Customer","Excelent shoes","Reviewed in Germany on 25 May 2023","5.0 out of 5 stars","Verified Purchase"
